loja,product_id,produto,variacao_shopee,sku_pai,sku_variacao
luizmiguelsebastiani,23099370801,Suporte de parede para PS4 Slim e controle,-,SUP-PS4SLIM,SUP-PS4SLIM-PLA-STD-U
luizmiguelsebastiani,58206077036,Kit 3 Mini Anjinhos Natalinos,Com detalhes,DEC-ANJINHOS,DEC-ANJINHOS-PLA-DET-U
luizmiguelsebastiani,58206077036,Kit 3 Mini Anjinhos Natalinos,1,DEC-ANJINHOS,DEC-ANJINHOS-PLA-V1-U
luizmiguelsebastiani,58206077036,Kit 3 Mini Anjinhos Natalinos,2,DEC-ANJINHOS,DEC-ANJINHOS-PLA-V2-U
luizmiguelsebastiani,58206077036,Kit 3 Mini Anjinhos Natalinos,3,DEC-ANJINHOS,DEC-ANJINHOS-PLA-V3-U
luizmiguelsebastiani,58206077036,Kit 3 Mini Anjinhos Natalinos,4,DEC-ANJINHOS,DEC-ANJINHOS-PLA-V4-U
luizmiguelsebastiani,22799368207,Boneco Ghostface Scary Movie,Panico,BON-GHOSTFACE,BON-GHOSTFACE-PLA-PAN-U
luizmiguelsebastiani,22799368207,Boneco Ghostface Scary Movie,Ima,BON-GHOSTFACE,BON-GHOSTFACE-PLA-IMA-U
luizmiguelsebastiani,22799368207,Boneco Ghostface Scary Movie,Todo mundo em Panico,BON-GHOSTFACE,BON-GHOSTFACE-PLA-TMP-U
luizmiguelsebastiani,23999347184,Cranio de T-Rex decorativo,Medio,DEC-TREX,DEC-TREX-PLA-STD-M
luizmiguelsebastiani,23999347184,Cranio de T-Rex decorativo,Grande,DEC-TREX,DEC-TREX-PLA-STD-G
luizmiguelsebastiani,23999347184,Cranio de T-Rex decorativo,Pequeno,DEC-TREX,DEC-TREX-PLA-STD-P
luizmiguelsebastiani,23799357186,Taca da copa do mundo 2026,Chaveiro,DEC-TACACOPA,DEC-TACACOPA-PLA-STD-CHV
luizmiguelsebastiani,23799357186,Taca da copa do mundo 2026,10 CM,DEC-TACACOPA,DEC-TACACOPA-PLA-STD-P
luizmiguelsebastiani,23799357186,Taca da copa do mundo 2026,15 CM,DEC-TACACOPA,DEC-TACACOPA-PLA-STD-M
